"Date","Price","Open","High","Low","Vol.","Change %"
"03/25/2025","500.00","510.00","510.00","500.00","160.54K","-1.38%"
"03/24/2025","507.00","508.00","516.50","503.50","96.26K","0.00%"
"03/21/2025","507.00","518.00","521.50","507.00","166.80K","-0.69%"
"03/20/2025","510.50","521.00","524.50","510.50","77.53K","-0.39%"
"03/19/2025","512.50","503.00","525.00","502.00","91.37K","2.09%"
"03/18/2025","502.00","521.50","521.50","501.50","239.95K","-1.57%"
"03/17/2025","510.00","522.50","522.50","510.00","48.07K","0.00%"
